# IR, RED, Heart Rate, Resoiration Rate, SPO2
232113.00,217148.00,66.67,17.05,98.90
232098.00,217113.00,66.67,17.05,98.90
232185.00,217115.00,66.67,17.05,98.90
232221.00,217176.00,66.67,17.05,98.90
232264.00,217163.00,66.67,17.05,98.90
232142.00,217100.00,66.67,17.05,98.90
231967.00,217129.00,66.67,17.05,98.90
231750.00,217054.00,66.67,17.05,98.90
231440.00,216911.00,66.67,17.05,98.90
231262.00,216887.00,66.67,17.05,98.90
231049.00,216798.00,66.67,17.05,98.90
230883.00,216691.00,66.67,17.05,98.90
230678.00,216688.00,66.67,17.05,98.90
230543.00,216706.00,66.67,17.05,98.90
230409.00,216550.00,66.67,17.05,98.90
230266.00,216551.00,66.67,17.05,98.90
230181.00,216593.00,66.67,17.05,98.90
230154.00,216528.00,66.67,17.05,98.90
230172.00,216620.00,66.67,17.05,98.90
230176.00,216554.00,66.67,17.05,98.90
230166.00,216644.00,66.67,17.05,98.90
230142.00,216569.00,66.67,17.05,98.90
230159.00,216667.00,66.67,17.05,98.90
230147.00,216575.00,66.67,17.05,98.90
230116.00,216681.00,66.67,17.05,98.90
230153.00,216580.00,66.67,17.05,98.90
230184.00,216748.00,66.67,17.05,98.90
230238.00,216583.00,66.67,17.05,98.90
230223.00,216733.00,66.67,17.05,98.90
230212.00,216619.00,66.67,17.05,98.90
230280.00,216704.00,66.67,17.05,98.90
230368.00,216598.00,66.67,17.05,98.90
230384.00,216727.00,66.67,17.05,98.90
230410.00,216769.00,66.67,17.05,98.90
230475.00,216705.00,66.67,17.05,98.90
230499.00,216852.00,66.67,17.05,98.90
230558.00,216758.00,66.67,17.05,98.90
230687.00,216781.00,66.67,17.05,98.90
230641.00,216941.00,66.67,17.05,98.90
230686.00,216772.00,66.67,17.05,98.90
230740.00,216864.00,66.67,17.05,98.90
230767.00,217015.00,66.67,17.05,98.90
230845.00,216866.00,66.67,17.05,98.90
230981.00,216905.00,66.67,17.05,98.90
230917.00,217078.00,66.67,17.05,98.90
230996.00,216921.00,66.67,17.05,98.90
231033.00,216950.00,66.67,17.05,98.90
231075.00,217132.00,66.67,17.05,98.90
231146.00,217018.00,66.67,17.05,98.90
231293.00,217009.00,66.67,17.05,98.90
231169.00,217194.00,66.67,17.05,98.90
231300.00,217070.00,66.67,17.05,98.90
231459.00,217077.00,66.67,17.05,0.00
231344.00,217244.00,66.67,17.05,99.40
231393.00,217160.00,66.67,17.05,99.40
231373.00,217088.00,66.67,17.05,99.40
230977.00,217190.00,66.67,17.05,99.40
230756.00,216949.00,66.67,17.05,99.40
230562.00,216847.00,66.67,17.05,99.40
230243.00,216906.00,66.67,17.05,99.40
230035.00,216692.00,66.67,17.05,99.40
229903.00,216617.00,66.67,17.05,99.40
229625.00,216723.00,66.67,17.05,99.40
229493.00,216567.00,66.67,17.05,99.40
229460.00,216470.00,66.67,17.05,99.40
229189.00,216619.00,66.67,17.05,99.40
229190.00,216411.00,66.67,17.05,99.40
229139.00,216489.00,66.67,17.05,99.40
229163.00,216434.00,66.67,17.05,99.40
229126.00,216505.00,66.67,17.05,99.40
229217.00,216468.00,66.67,17.05,99.40
229177.00,216513.00,66.67,17.05,99.40
229188.00,216468.00,66.67,17.05,99.40
229153.00,216533.00,66.67,17.05,99.40
229200.00,216480.00,66.67,17.05,99.40
229224.00,216552.00,66.67,17.05,99.40
229241.00,216519.00,66.67,17.05,99.40
229253.00,216566.00,66.67,17.05,99.40
229268.00,216669.00,66.67,17.05,99.40
229437.00,216511.00,66.67,17.05,99.40
229378.00,216754.00,66.67,17.05,99.40
229425.00,216605.00,66.67,17.05,99.40
229428.00,216694.00,66.67,17.05,99.40
229538.00,216626.00,66.67,17.05,99.40
229547.00,216695.00,66.67,17.05,99.40
229652.00,216838.00,66.67,17.05,99.40
229661.00,216692.00,0.00,17.05,99.40
229739.00,216800.00,61.22,17.05,99.40
229719.00,216743.00,61.22,17.05,99.40
229819.00,216796.00,61.22,17.05,99.40
229880.00,216865.00,61.22,17.05,99.40
229898.00,216837.00,61.22,17.05,99.40
230025.00,216892.00,61.22,17.05,99.40
230058.00,216946.00,61.22,17.05,99.40
230047.00,216887.00,61.22,17.05,99.40
230173.00,216948.00,61.22,17.05,99.40
230233.00,217017.00,61.22,17.05,99.40
230230.00,216952.00,61.22,17.05,99.40
230355.00,217002.00,61.22,17.05,99.40
230413.00,217077.00,61.22,17.05,99.40
